"Region 2018"	"Population"	"Population change from the previous year, %"	"Share of Swedish-speakers of the population, %"	"Share of foreign citizens of the population, %"	"Proportion of the unemployed among the labour force, %"	"Proportion of pensioners of the population, %"
"Vihti"	29054	0.3	1.7	4.0	9.9	20.7
"Viitasaari"	6411	-3.0	0.1	0.9	19.0	38.4
"Vimpeli"	2974	-1.7	0.1	0.5	12.0	33.1
"Virolahti"	3207	-1.8	0.4	4.4	15.4	35.5
"Virrat"	6844	-1.1	0.1	1.9	15.3	39.5
"Vårdö"	430	-2.1	88.1	9.5	3.0	31.0
"Vöyri"	6616	-1.0	81.1	5.7	7.9	27.5
"Ylitornio"	4118	-2.0	0.5	1.6	16.1	41.1
"Ylivieska"	15251	0.3	0.3	1.2	13.3	23.1
"Ylöjärvi"	32878	0.2	0.3	1.2	11.7	20.3
"Ypäjä"	2372	-0.4	0.7	1.9	13.2	31.4
"Ähtäri"	5906	-1.3	0.1	0.9	13.0	35.1
"Äänekoski"	19144	-1.2	0.1	1.2	19.7	30.5
"Uusimaa"	1655624	1.1	8.0	8.2	11.0	19.8
"Southwest Finland"	477677	0.4	5.7	4.3	13.5	26.4
"Satakunta"	220398	-0.6	0.4	2.6	15.1	30.3
"Kanta-Häme"	172720	-0.6	0.4	3.0	12.7	27.9
"Pirkanmaa"	512081	0.5	0.4	3.0	15.4	24.6
"Päijät-Häme"	201228	-0.2	0.3	3.3	16.2	29.3
"Kymenlaakso"	175511	-1.2	0.8	3.8	17.9	31.7
"South Karelia"	129865	-0.5	0.2	3.8	16.7	30.8
"South Savo"	147194	-1.2	0.2	2.2	15.2	34.3
"North Savo"	246653	-0.5	0.1	2.0	13.9	29.3
"North Karelia"	162986	-0.7	0.1	2.3	18.1	30.0
"Central Finland"	276031	-0.1	0.2	2.2	16.7	26.4
"South Ostrobothnia"	190910	-0.5	0.3	1.7	11.6	28.7
"Ostrobothnia"	180945	-0.3	49.6	5.2	9.6	25.2
"Central Ostrobothnia"	68780	-0.4	9.0	2.1	11.4	26.0
"North Ostrobothnia"	411856	0.2	0.2	2.0	15.2	23.1
"Kainuu"	73959	-1.1	0.1	1.9	15.7	32.8
"Lapland"	179223	-0.5	0.2	2.2	15.9	29.2
"Åland"	29489	0.9	87.2	10.8	3.6	22.9
"Helsinki sub-regional unit"	1536926	1.2	5.5	8.5	11.0	19.2
"Raasepori sub-regional unit"	41849	-1.1	58.7	3.6	11.6	30.0
"Porvoo sub-regional unit"	59058	-0.2	25.6	4.3	10.1	23.6
"Loviisa sub-regional unit"	17791	-0.9	39.3	3.5	12.3	31.9
"Åboland-Turunmaa sub-regional unit"	22078	-0.9	59.4	3.0	9.2	32.1
"Salo sub-regional unit"	61903	-1.1	1.0	3.7	17.1	30.4
"Turku sub-regional unit"	328072	0.8	4.0	4.7	13.7	24.2
"Vakka-Suomi sub-regional unit"	31332	1.7	0.5	3.2	10.0	32.1
"Loimaa sub-regional unit"	34292	-0.8	0.4	2.8	10.8	30.8
"Rauma sub-regional unit"	67954	-0.1	0.3	3.7	12.2	29.4
"Pori sub-regional unit"	133406	-0.8	0.4	2.1	16.8	30.4
"Pohjois-Satakunta sub-regional unit"	19038	-1.1	0.1	2.8	13.9	32.8
"Hämeenlinna sub-regional unit"	93879	-0.4	0.3	3.2	12.8	27.9
"Riihimäki sub-regional unit"	45553	-0.8	0.4	2.9	11.3	25.0
"Forssa sub-regional unit"	33288	-1.0	0.3	2.7	14.2	31.6
"Luoteis-Pirkanmaa sub-regional unit"	15648	-1.0	0.1	1.5	15.2	35.0
"Etelä-Pirkanmaa sub-regional unit"	42734	-0.9	0.2	2.2	15.1	28.7
"Tampere sub-regional unit"	402467	1.0	0.4	3.3	15.6	22.4
"Lounais-Pirkanmaa sub-regional unit"	27769	-1.1	0.1	2.2	12.2	33.0
"Ylä-Pirkanmaa sub-regional unit"	23463	-1.8	0.2	1.8	14.4	38.5
"Lahti sub-regional unit"	201228	-0.2	0.3	3.3	16.2	29.3
"Kouvola sub-regional unit"	91016	-1.3	0.4	2.6	16.3	31.8
"Kotka-Hamina sub-regional unit"	84495	-1.1	1.2	5.1	19.6	31.6
"Lappeenranta sub-regional unit"	88973	-0.2	0.2	4.0	15.9	28.0
"Imatra sub-regional unit"	40892	-1.1	0.1	3.2	18.5	36.8
"Mikkeli sub-regional unit"	72047	-0.7	0.2	2.2	14.4	32.2
"Savonlinna sub-regional unit"	45676	-1.8	0.1	2.2	17.6	35.9
"Pieksämäki sub-regional unit"	29471	-1.6	0.2	2.0	13.2	36.8
"Ylä-Savo sub-regional unit"	54307	-1.4	0.1	1.6	14.6	33.1
"Kuopio sub-regional unit"	139866	0.3	0.1	2.3	13.1	24.8
"Koillis-Savo sub-regional unit"	7343	-2.4	0.1	1.2	17.7	43.3
"Varkaus sub-regional unit"	30937	-1.3	0.2	2.0	16.7	34.5
"Sisä-Savo sub-regional unit"	14200	-1.1	0.1	1.9	12.8	39.2
"Joensuu sub-regional unit"	124409	-0.3	0.1	2.4	17.7	26.9
"Keski-Karjala sub-regional unit"	17297	-1.9	0.1	2.6	19.4	38.4
"Pielisen Karjala sub-regional unit"	21280	-2.0	0.1	1.6	19.9	40.7
"Jyväskylä sub-regional unit"	184333	0.7	0.2	2.7	16.0	21.9
"Joutsa sub-regional unit"	5301	-2.4	0.2	1.5	17.3	41.4
"Keuruu sub-regional unit"	11555	-0.9	0.1	1.5	15.3	37.4
"Jämsä sub-regional unit"	23129	-1.8	0.2	1.3	18.2	35.3
"Äänekoski sub-regional unit"	21892	-1.1	0.1	1.1	19.5	31.3
"Saarijärvi-Viitasaari sub-regional unit"	29821	-1.9	0.1	1.1	19.3	36.4
"Suupohja sub-regional unit"	22240	-1.4	0.5	1.8	12.4	33.0
"Seinäjoki sub-regional unit"	126856	0.0	0.3	1.7	11.3	26.4
"Kuusiokunnat sub-regional unit"	21256	-1.5	0.1	1.1	11.5	33.2
"Järviseutu sub-regional unit"	20558	-1.3	0.4	1.9	12.9	33.3
"Kyrönmaa sub-regional unit"	12724	-1.0	1.0	0.8	10.5	27.0
"Vaasa sub-regional unit"	101023	-0.3	40.2	5.2	10.8	23.4
"Sydösterbotten sub-regional unit"	17419	-0.2	66.9	9.0	7.1	34.8
"Jakobstadsregionen sub-regional unit"	49779	0.0	74.8	4.9	7.4	24.9
"Kaustinen sub-regional unit"	15537	-1.2	1.1	1.4	9.6	29.1
"Kokkola sub-regional unit"	53243	-0.1	11.4	2.3	11.9	25.1
"Oulu sub-regional unit"	248275	0.7	0.2	2.5	15.9	19.0
"Oulunkaari sub-regional unit"	23778	0.4	0.1	1.2	18.3	32.5
"Raahe sub-regional unit"	33533	-0.1	0.1	1.7	14.3	28.7
"Haapavesi-Siikalatva sub-regional unit"	13996	-1.9	0.0	0.9	13.3	30.1
"Nivala-Haapajärvi sub-regional unit"	28827	-1.2	0.1	0.8	12.9	30.1
"Ylivieska sub-regional unit"	44003	-0.3	0.3	1.3	12.3	26.1
"Koillismaa sub-regional unit"	19444	-1.1	0.2	1.2	14.6	32.5
"Kehys-Kainuu sub-regional unit"	21545	-2.0	0.1	1.3	20.0	41.5
"Kajaani sub-regional unit"	52414	-0.8	0.1	2.1	14.1	29.1
"Rovaniemi sub-regional unit"	66392	0.2	0.2	2.4	15.2	23.5
"Kemi-Tornio sub-regional unit"	57658	-1.1	0.2	2.5	17.0	29.6
"Torniolaakso sub-regional unit"	7628	-1.8	0.5	1.4	16.5	42.5
"Itä-Lappi sub-regional unit"	16389	-2.1	0.1	1.1	21.6	43.0
"Tunturi-Lappi sub-regional unit"	14500	0.5	0.6	2.6	12.6	28.1
"Pohjois-Lappi sub-regional unit"	16656	-0.4	0.2	1.8	13.1	31.2
"Mariehamns stad sub-regional unit"	11677	1.0	84.2	13.0	4.5	24.2
"Ålands landsbygd sub-regional unit"	15756	1.5	89.9	9.2	3.1	20.6
"Ålands skärgård sub-regional unit"	2056	-3.1	83.5	10.7	3.4	32.6
"Uusimaa (HE 15/2017 vp)"	1655624	1.1	8.0	8.2	11.0	19.8
"Southwest Finland (HE 15/2017 vp)"	477677	0.4	5.7	4.3	13.5	26.4
"Satakunta (HE 15/2017 vp)"	220398	-0.6	0.4	2.6	15.1	30.3
"Kanta-Häme (HE 15/2017 vp)"	172720	-0.6	0.4	3.0	12.7	27.9
"Pirkanmaa (HE 15/2017 vp)"	514333	0.5	0.4	3.0	15.4	24.8
"Päijät-Häme (HE 15/2017 vp)"	208048	-0.3	0.3	3.3	16.1	29.5
"Kymenlaakso (HE 15/2017 vp)"	168691	-1.2	0.8	3.9	18.0	31.6
"South Karelia (HE 15/2017 vp)"	129865	-0.5	0.2	3.8	16.7	30.8
"South Savo (HE 15/2017 vp)"	138822	-1.1	0.1	2.2	15.2	34.0
"North Savo (HE 15/2017 vp)"	251570	-0.5	0.1	2.0	13.9	29.4
"North Karelia (HE 15/2017 vp)"	166441	-0.7	0.1	2.3	18.1	30.3
"Central Finland (HE 15/2017 vp)"	273779	0.0	0.2	2.2	16.7	26.3
"South Ostrobothnia (HE 15/2017 vp)"	195583	-0.5	0.3	1.6	11.6	28.7
"Ostrobothnia (HE 15/2017 vp)"	176272	-0.3	50.9	5.3	9.5	25.1
"Central Ostrobothnia (HE 15/2017 vp)"	68780	-0.4	9.0	2.1	11.4	26.0
"North Ostrobothnia (HE 15/2017 vp)"	411856	0.2	0.2	2.0	15.2	23.1
"Kainuu (HE 15/2017 vp)"	73959	-1.1	0.1	1.9	15.7	32.8
"Lapland (HE 15/2017 vp)"	179223	-0.5	0.2	2.2	15.9	29.2
"Åland (HE 15/2017 vp)"	29489	0.9	87.2	10.8	3.6	22.9
"Helsinki sub-regional unit (HE 15/2017 vp)"	1536926	1.2	5.5	8.5	11.0	19.2
"Raasepori sub-regional unit (HE 15/2017 vp)"	41849	-1.1	58.7	3.6	11.6	30.0
"Porvoo sub-regional unit (HE 15/2017 vp)"	59058	-0.2	25.6	4.3	10.1	23.6
"Loviisa sub-regional unit (HE 15/2017 vp)"	17791	-0.9	39.3	3.5	12.3	31.9
"Åboland-Turunmaa sub-regional unit (HE 15/2017 vp)"	22078	-0.9	59.4	3.0	9.2	32.1
"Salo sub-regional unit (HE 15/2017 vp)"	61903	-1.1	1.0	3.7	17.1	30.4
"Turku sub-regional unit (HE 15/2017 vp)"	328072	0.8	4.0	4.7	13.7	24.2
"Vakka-Suomi sub-regional unit (HE 15/2017 vp)"	31332	1.7	0.5	3.2	10.0	32.1
"Loimaa sub-regional unit (HE 15/2017 vp)"	34292	-0.8	0.4	2.8	10.8	30.8
"Rauma sub-regional unit (HE 15/2017 vp)"	67954	-0.1	0.3	3.7	12.2	29.4
"Pori sub-regional unit (HE 15/2017 vp)"	133406	-0.8	0.4	2.1	16.8	30.4
"Pohjois-Satakunta sub-regional unit (HE 15/2017 vp)"	19038	-1.1	0.1	2.8	13.9	32.8
"Hämeenlinna sub-regional unit (HE 15/2017 vp)"	93879	-0.4	0.3	3.2	12.8	27.9
"Riihimäki sub-regional unit (HE 15/2017 vp)"	45553	-0.8	0.4	2.9	11.3	25.0
"Forssa sub-regional unit (HE 15/2017 vp)"	33288	-1.0	0.3	2.7	14.2	31.6
"Luoteis-Pirkanmaa sub-regional unit (HE 15/2017 vp)"	15648	-1.0	0.1	1.5	15.2	35.0
"Etelä-Pirkanmaa sub-regional unit (HE 15/2017 vp)"	42734	-0.9	0.2	2.2	15.1	28.7
"Tampere sub-regional unit (HE 15/2017 vp)"	404719	1.0	0.4	3.2	15.6	22.5
"Lounais-Pirkanmaa sub-regional unit (HE 15/2017 vp)"	27769	-1.1	0.1	2.2	12.2	33.0
"Ylä-Pirkanmaa sub-regional unit (HE 15/2017 vp)"	23463	-1.8	0.2	1.8	14.4	38.5
"Lahti sub-regional unit (HE 15/2017 vp)"	208048	-0.3	0.3	3.3	16.1	29.5
"Kouvola sub-regional unit (HE 15/2017 vp)"	84196	-1.3	0.4	2.7	16.5	31.7
"Kotka-Hamina sub-regional unit (HE 15/2017 vp)"	84495	-1.1	1.2	5.1	19.6	31.6
"Lappeenranta sub-regional unit (HE 15/2017 vp)"	88973	-0.2	0.2	4.0	15.9	28.0
"Imatra sub-regional unit (HE 15/2017 vp)"	40892	-1.1	0.1	3.2	18.5	36.8
"Mikkeli sub-regional unit (HE 15/2017 vp)"	72047	-0.7	0.2	2.2	14.4	32.2
"Savonlinna sub-regional unit (HE 15/2017 vp)"	42221	-1.8	0.1	2.2	17.6	35.3
"Pieksämäki sub-regional unit (HE 15/2017 vp)"	24554	-1.4	0.2	2.0	13.2	37.4
"Ylä-Savo sub-regional unit (HE 15/2017 vp)"	54307	-1.4	0.1	1.6	14.6	33.1
"Kuopio sub-regional unit (HE 15/2017 vp)"	139866	0.3	0.1	2.3	13.1	24.8
"Koillis-Savo sub-regional unit (HE 15/2017 vp)"	7343	-2.4	0.1	1.2	17.7	43.3
"Varkaus sub-regional unit (HE 15/2017 vp)"	35854	-1.4	0.2	2.0	16.2	34.4
"Sisä-Savo sub-regional unit (HE 15/2017 vp)"	14200	-1.1	0.1	1.9	12.8	39.2
"Joensuu sub-regional unit (HE 15/2017 vp)"	127864	-0.3	0.1	2.4	17.7	27.4
"Keski-Karjala sub-regional unit (HE 15/2017 vp)"	17297	-1.9	0.1	2.6	19.4	38.4
"Pielisen Karjala sub-regional unit (HE 15/2017 vp)"	21280	-2.0	0.1	1.6	19.9	40.7
"Jyväskylä sub-regional unit (HE 15/2017 vp)"	184333	0.7	0.2	2.7	16.0	21.9
"Joutsa sub-regional unit (HE 15/2017 vp)"	5301	-2.4	0.2	1.5	17.3	41.4
"Keuruu sub-regional unit (HE 15/2017 vp)"	11555	-0.9	0.1	1.5	15.3	37.4
"Jämsä sub-regional unit (HE 15/2017 vp)"	20877	-1.8	0.2	1.3	18.2	34.0
"Äänekoski sub-regional unit (HE 15/2017 vp)"	21892	-1.1	0.1	1.1	19.5	31.3
"Saarijärvi-Viitasaari sub-regional unit (HE 15/2017 vp)"	29821	-1.9	0.1	1.1	19.3	36.4
"Suupohja sub-regional unit (HE 15/2017 vp)"	22240	-1.4	0.5	1.8	12.4	33.0
"Seinäjoki sub-regional unit (HE 15/2017 vp)"	131529	-0.1	0.3	1.6	11.3	26.5
"Kuusiokunnat sub-regional unit (HE 15/2017 vp)"	21256	-1.5	0.1	1.1	11.5	33.2
"Järviseutu sub-regional unit (HE 15/2017 vp)"	20558	-1.3	0.4	1.9	12.9	33.3
"Kyrönmaa sub-regional unit (HE 15/2017 vp)"	8051	-1.1	1.1	0.8	10.1	25.2
"Vaasa sub-regional unit (HE 15/2017 vp)"	101023	-0.3	40.2	5.2	10.8	23.4
"Sydösterbotten sub-regional unit (HE 15/2017 vp)"	17419	-0.2	66.9	9.0	7.1	34.8
"Jakobstadsregionen sub-regional unit (HE 15/2017 vp)"	49779	0.0	74.8	4.9	7.4	24.9
"Kaustinen sub-regional unit (HE 15/2017 vp)"	15537	-1.2	1.1	1.4	9.6	29.1
"Kokkola sub-regional unit (HE 15/2017 vp)"	53243	-0.1	11.4	2.3	11.9	25.1
"Oulu sub-regional unit (HE 15/2017 vp)"	248275	0.7	0.2	2.5	15.9	19.0
"Oulunkaari sub-regional unit (HE 15/2017 vp)"	23778	0.4	0.1	1.2	18.3	32.5
"Raahe sub-regional unit (HE 15/2017 vp)"	33533	-0.1	0.1	1.7	14.3	28.7
"Haapavesi-Siikalatva sub-regional unit (HE 15/2017 vp)"	13996	-1.9	0.0	0.9	13.3	30.1
"Nivala-Haapajärvi sub-regional unit (HE 15/2017 vp)"	28827	-1.2	0.1	0.8	12.9	30.1
"Ylivieska sub-regional unit (HE 15/2017 vp)"	44003	-0.3	0.3	1.3	12.3	26.1
"Koillismaa sub-regional unit (HE 15/2017 vp)"	19444	-1.1	0.2	1.2	14.6	32.5
"Kehys-Kainuu sub-regional unit (HE 15/2017 vp)"	21545	-2.0	0.1	1.3	20.0	41.5
"Kajaani sub-regional unit (HE 15/2017 vp)"	52414	-0.8	0.1	2.1	14.1	29.1
"Rovaniemi sub-regional unit (HE 15/2017 vp)"	66392	0.2	0.2	2.4	15.2	23.5
"Kemi-Tornio sub-regional unit (HE 15/2017 vp)"	57658	-1.1	0.2	2.5	17.0	29.6
"Torniolaakso sub-regional unit (HE 15/2017 vp)"	7628	-1.8	0.5	1.4	16.5	42.5
"Itä-Lappi sub-regional unit (HE 15/2017 vp)"	16389	-2.1	0.1	1.1	21.6	43.0
"Tunturi-Lappi sub-regional unit (HE 15/2017 vp)"	14500	0.5	0.6	2.6	12.6	28.1
"Pohjois-Lappi sub-regional unit (HE 15/2017 vp)"	16656	-0.4	0.2	1.8	13.1	31.2
"Mariehamns stad sub-regional unit (HE 15/2017 vp)"	11677	1.0	84.2	13.0	4.5	24.2
"Ålands landsbygd sub-regional unit (HE 15/2017 vp)"	15756	1.5	89.9	9.2	3.1	20.6
"Ålands skärgård sub-regional unit (HE 15/2017 vp)"	2056	-3.1	83.5	10.7	3.4	32.6
